Table 1
Order Id,Return Reason,,,
CA-2021-140186,Wrong Items,,,
CA-2021-140585,Wrong Items,,,
CA-2021-140963,Wrong Items,,,
CA-2021-141929,Wrong Items,,,
CA-2021-142328,Wrong Items,,,
CA-2021-142342,Wrong Items,,,
CA-2021-142867,Wrong Items,,,
CA-2021-142888,Wrong Items,,,
CA-2021-143084,Wrong Items,,,
CA-2021-144064,Wrong Items,,,
CA-2021-145128,Wrong Items,,,
CA-2021-145772,Wrong Items,,,
CA-2021-147452,Wrong Items,,,
CA-2021-150609,Wrong Items,,,
CA-2021-150910,Wrong Items,,,
CA-2021-152660,Wrong Items,,,
CA-2021-153822,Wrong Items,,,
CA-2021-154074,Wrong Items,,,
CA-2021-154214,Wrong Items,,,
CA-2021-154949,Wrong Items,,,
CA-2021-155712,Wrong Items,,,
CA-2021-156391,Wrong Items,,,
CA-2021-156958,Wrong Items,,,
CA-2021-157196,Wrong Items,,,
CA-2021-158729,Wrong Items,,,
CA-2021-159954,Wrong Items,,,
CA-2021-161459,Wrong Items,,,
CA-2021-161557,Wrong Items,,,
CA-2021-161956,Wrong Items,,,
CA-2021-162015,Wrong Items,,,
CA-2021-165008,Wrong Items,,,
CA-2021-165491,Wrong Items,,,
CA-2021-166093,Wrong Items,,,
CA-2021-166142,Wrong Items,,,
CA-2021-166898,Wrong Items,,,
CA-2021-167003,Wrong Items,,,
CA-2021-167395,Wrong Items,,,
CA-2021-168193,Wrong Items,,,
CA-2021-169327,Wrong Items,,,
CA-2021-169859,Wrong Items,,,
CA-2021-169894,Wrong Items,,,
US-2018-105137,Wrong Items,,,
US-2018-138758,Wrong Items,,,
US-2018-140452,Wrong Items,,,
US-2018-143287,Wrong Items,,,
US-2018-150574,Wrong Items,,,
US-2018-164406,Wrong Items,,,
US-2018-164763,Wrong Items,,,
US-2019-110569,Wrong Items,,,
US-2019-126214,Wrong Items,,,
US-2019-128090,Wrong Items,,,
US-2019-136749,Wrong Items,,,
US-2019-136987,Wrong Items,,,
US-2019-137008,Wrong Items,,,
US-2019-160857,Wrong Items,,,
US-2020-105578,Wrong Items,,,
US-2020-108455,Wrong Items,,,
US-2020-111528,Wrong Items,,,
US-2020-114230,Wrong Items,,,
US-2020-114293,Wrong Items,,,
US-2020-115952,Wrong Items,,,
US-2020-119046,Wrong Items,,,
US-2020-127425,Wrong Items,,,
US-2020-131149,Wrong Items,,,
US-2020-135720,Wrong Items,,,
US-2020-140172,Wrong Items,,,
US-2020-144057,Wrong Items,,,
US-2020-148957,Wrong Items,,,
US-2020-151827,Wrong Items,,,
US-2020-152051,Wrong Items,,,
US-2020-156986,Wrong Items,,,
US-2020-157490,Wrong Items,,,
US-2021-103247,Wrong Items,,,
US-2021-103828,Wrong Items,,,
US-2021-105046,Wrong Items,,,
US-2021-107888,Wrong Items,,,
US-2021-109253,Wrong Items,,,
US-2021-118087,Wrong Items,,,
US-2021-123834,Others,,,
US-2021-136679,Others,,,
US-2021-147886,Others,,,
US-2021-147998,Wrong Items,,,
US-2021-151127,Wrong Items,,,
US-2021-155999,Wrong Items,,,
